Address,Delegated Address
0x92ad59e397363C7B545f92Fe2ADfb2c07cCBaC65,0x8ce75e19f2d28c80944aee5f8b447fbc762da32e
0xE2A8F676a31D59a91A8Ce1e86C43E8A577FDe478,0xcf2c2fdc9a5a6fa2fc237dc3f5d14dd9b49f66a3
0x127E25D2106CF05D4198096eD750F9c3C69F8A1D,0xc9d026537a257ca48319b5f86d036faede2b4d73
0xaF7c64bb0E3288aA7313194696589D8905CEC60E,0x5852451c5463b872e54acb8649e1b7bc4a2f9e95
0x57354dD3787E50963d2c2d9925ed1237f4166FD1,0xca43703ca1a251d4ef8ce1eb4fefa7a96abcfc43
0x89ccebA83F1dEcFE3D6AB8A43a26DDac92CE5427,0x2b020211d57c098ddaaf1b5465e81567cce1e0e2
0x456eA01689f1FB9e9Cba6D5FB82e3137cb43ec64,0xac4cd92db83280a3857682522ab96b4c5b63d8c8
0x6D5C8b593958eE0cB7aD6Ac2531AB1b818186857,0x3fe7f445566a103eb5d62c7890387f717fc06e83
0x99D9956A937d29c85068cBd4fE4B1e68e37b0706,0x8384750c57ff1290fd383972fee837f6fa691c27
0x6a02225eF927f8c617156B1DDF883293895B109d,0x836e71f16a53577edd2ea377a8ab29a90ae0cdc0
0x959C3bcED40403B5b670e023cecE4e4C0e5df5Ed,0xc1a9da4df2dece6c204aea72d4999144e7452c12
0xDCFc630F0510D13d6F200568FD449062F2aA4c72,0x2fcca9685b8b64637d1cb36e20c35b207e189f64
0x3ba1d5bb378069758a4C27953Ad7F01c4D80a461,0x730f539cbfd1d81e9a822b6b7d75e59b7ceed46c
